firstname_initial;lastname
F V D;Aa
R;Aaij
P;Aalten
D;Aanensen
G;Aarab
F M;Aarestrup
D;Aarlsand
S A;Aaronson
D;Aarsland
H A;Aasam
E;Ab
L;Ababei
R;Abacherli
I M;Abadia
C;Abadie
N A;Abadie
U;Abah
A A;Abajobir
J A;Abarrategui
K H;Abate
G;Abbadessa
M;Abbal
K;Abbas
A A;Abbasi
M R;Abbasi
Z;Abbasi
R;Abbasi
A;Abbass
A;Abbate
M I;Abbate
C;Abbate
L;Abbeduto
O;Abbo
A;Abbondandolo
R;Abbott
R M;Abbott
S F;Abboud
L;Abby
A M A;Abd
M;Abdalkader
A L;Abdalla
S;Abdalla
F C;Abdalla
S;Abdelfatah
M;Abdelgawad
S;Abdelhamid
M;Abdellatif
K;Abdelmohsen
L;Abdelwareth
H M A;Abdely
M R;Abdo
A;Abdoli
A;Abdollahi
A;Abdolvand
R;Abdosh
E;Abdou
A A B;Abdulhak
A B;Abdulhak
N J;Abdulhay
M;Abdullahi
A;Abdulle
O;Abdulrahman
R;Abe
A;Abe
G;Abecasis
G R;Abedi
M J;Abedin
M;Abel
S;Abel
L;Abel
M J;Abel
T;Abel
L;Abela
H;Abele
R;Abele
H;Abeliovich
B H;Abello
H P;Aben
J;Abendroth
S F;Abera
E;Aberer
A;Abergel
L H;Aberle
D R;Abernethy
M;Abers
R T;Abib
J P;Abid
K;Abidi
M H;Abildgaard
A;Abini
E;Abitelli
A R;Abizari
C;Abjornson
H;Abken
S;Abner
E;Abousaad
V;Aboyans
R T;Abraham
S;Abraham
N;Abraham
T M;Abraham
G;Abraham
L;Abraham
M;Abraham
J P;Abraham
S;Abrahamczyk
P H;Abrahams
B;Abrahamsen
M;Abrahamson
E;Abrams
S;Abrams
S R;Abrams
S B;Abramson
N I;Abramson
F;Abravanel
F L;Abravanel
B N A D;Abreu
S;Abrignani
J;Abrigo
C;Abril
I;Abt
I;Abubakar
D G;Abud
Y P;Abudu
J C;Abuin
T H K;Abulesz
D M;Abusi
H I;Acar
H;Acar
L;Acar
M;Acciaresi
R;Accolla
R S;Accolla
M D;Accolti
S;Accordini
F;Accornero
M A M;Acebes
N;Acer
P;Achanta
S;Acharya
K;Achberger
S;Achenbach
T V;Achenbach
P;Achermann
T;Achoki
W;Achouak
S B;Aciksoz
L;Acimovic
T;Acker
H;Acker
C;Ackerley
I N;Ackerman
S J;Ackerman
R;Ackermann
F;Ackermann
G;Ackermann
M;Ackermann
J;Ackermann
D;Ackermann
